Author,Rating,Reviews,Pages,Price
Sophie-Carolin Wagner,4.0,1,280.0,5810.0
Robert E. White,2.0,1,384.0,7636.0
Zbigniew Herbert,5.0,1,626.0,1493.1699999999998
Michael Burleigh,5.0,1,578.0,1659.1699999999998
Matt Ruff,3.5,2,260.0,165.17
Kes Gray,3.0,3,242.0,632.46
John Morreall,3.0,2,208.0,3569.0
K. L. Mittal,1.0,1,451.0,16102.0
"Chris Kyle, Scott McEwen, Jim DeFelice",4.0,154,267.0,829.1700000000001
Beatriz Williams,5.0,1,296.0,580.1700000000001
Elizabeth Percer,3.0,1,229.0,580.1700000000001
Sari Wilson,3.0,1,237.0,1078.17
"Niran Al-Agba, Rebekah Bernard",3.0,7,254.0,1743.0
Erich Segal,4.0,1,245.0,1161.17
"Omid Scobie, Carolyn Durand",1.0,2,424.0,1244.17
Dave Grohl,5.0,1,431.0,1161.17
"Rickson Gracie, Peter Maguire",5.0,1,253.0,1368.6699999999998
Stephen King,4.5,18,1168.0,1078.17
Stephen King,5.0,1,416.0,829.1700000000001
"Stephen King, Stewart O'Nan",3.0,29,40.0,165.17
Stephen King,5.0,2,736.0,912.1700000000001
Stephen King,4.5,19,611.0,912.1700000000001
Stephen King,4.5,23,400.0,912.1700000000001
Stephen King,4.5,2,320.0,995.1700000000001
Stephen King,3.5,8,186.0,580.1700000000001
Stephen King,5.0,2,432.0,829.1700000000001
"Stephen King, Owen King",5.0,1,722.0,912.1700000000001
Stephen King,3.5,21,389.0,580.1700000000001
Stephen King,3.0,1,560.0,829.1700000000001
J.K. Rowling,4.5,177,771.0,995.1700000000001
Melissa Anelli,3.0,8,371.0,1161.17
J.K. Rowling,4.5,76,661.0,995.1700000000001
J. K. Rowling,3.0,826,364.0,995.1700000000001
J.K. Rowling,5.0,1,397.0,829.1700000000001
"James Patterson, Marshall Karp",4.0,27,218.0,829.1700000000001
"James Patterson, Michael Ledwidge",3.5,60,320.0,829.1700000000001
"James Patterson, Bill Clinton",5.0,2,433.0,829.1700000000001
James Patterson,4.5,5,319.0,829.1700000000001
"James Patterson, Maxine Paetro",5.0,2,303.0,829.1700000000001
James Patterson,5.0,1,322.0,829.1700000000001
"James Patterson, Michael Ledwidge",4.5,7,213.0,829.1700000000001
"James Patterson, Hal Friedman",4.0,2,216.0,829.1700000000001
James Patterson,4.5,10,197.0,829.1700000000001
James Patterson,4.5,2,305.0,829.1700000000001
James Patterson,4.0,4,254.0,829.1700000000001
James Patterson,3.0,2,328.0,912.1700000000001
"James Patterson, Andrew Gross",4.0,2,263.0,663.1700000000001
"James Patterson, David Ellis",3.0,130,299.0,829.1700000000001
James Patterson,5.0,2,249.0,663.1700000000001
James Patterson,2.0,1,334.0,829.1700000000001
James Patterson,3.5,2,284.0,829.1700000000001
James Patterson,4.0,10,417.0,829.1700000000001
James Patterson,4.5,13,209.0,829.1700000000001
"James Patterson, Howard Roughan",2.5,5,247.0,829.1700000000001
"James Patterson, Richard DiLallo",3.5,4,287.0,829.1700000000001
"James Patterson, Maxine Paetro",4.0,5,325.0,829.1700000000001
"James Patterson, Michael Ledwidge",4.0,12,337.0,829.1700000000001
James Patterson,4.0,5,295.0,829.1700000000001
"James Patterson, Gabrielle Charbonnet",4.5,9,223.0,580.1700000000001
"James Patterson, David Ellis",5.0,2,282.0,829.1700000000001
James Patterson,4.0,42,286.0,746.1700000000001
"James Patterson, Maxine Paetro",3.0,3,271.0,829.1700000000001
James Patterson,4.5,4,322.0,829.1700000000001
"James Patterson, Maxine Paetro",3.5,58,320.0,829.1700000000001
"James Patterson, Dolly Parton",4.0,1,379.0,1078.17
"James Patterson, Chris Tebbetts",4.0,14,261.0,663.1700000000001
"James Patterson, Maxine Paetro",3.5,6,312.0,829.1700000000001
James T. Patterson,5.0,1,497.0,1410.1699999999998
"James Patterson, Maxine Paetro",4.0,1,273.0,829.1700000000001
Nora Roberts,4.0,3,466.0,663.1700000000001
Nora Roberts,4.5,4,452.0,746.1700000000001
Nora Roberts,4.0,1,500.0,663.1700000000001
Nora Roberts,4.5,8,498.0,663.1700000000001
Nora Roberts,5.0,5,1066.0,2074.17
Nora Roberts,5.0,4,481.0,829.1700000000001
Nora Roberts,4.0,16,353.0,829.1700000000001
Nora Roberts,5.0,1,337.0,829.1700000000001
Nora Roberts,5.0,2,481.0,829.1700000000001
Nora Roberts,4.0,2,353.0,829.1700000000001
Nora Roberts,5.0,1,385.0,829.1700000000001
Nora Roberts,3.0,4,358.0,829.1700000000001
Danielle Steel,5.0,1,290.0,580.1700000000001
Danielle Steel,3.5,3,256.0,580.1700000000001
